PROPNUM,Entity ID,LEASE,API,API/UWI,API/UWI List,Production Date,Liquid (bbl),Gas (mcf),Water (bbl),Well Count,Days,TP,CP,CHK
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,3/27/17,0,0,0,1,,2200,0,0
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,3/28/17,0,0,98,1,,2132,0,10
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,3/29/17,0,0,895,1,,2161,0,12
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,3/30/17,115.8564999,0,1104,1,,2112,0,14
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,3/31/17,157.5314999,119.8382749,1058,1,,2113,0,14
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/1/17,331.0306907,218.0203327,1195,1,,2032,0,16
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/2/17,448.0573952,280.1319018,1264,1,,2014,0,16
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/3/17,608.294583,311.9666667,1311,1,,1945,0,18
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/4/17,807.2349333,464.9404642,1445,1,,1850,0,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/5/17,879.0146397,535.1700288,1338,1,,1800,0,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/6/17,897.9558505,560.2685874,1165,1,,1775,0,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/7/17,920,571.8304147,1110,1,,1740,0,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/8/17,978,574.296846,1025,1,,1700,20,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/9/17,919.2557171,575.8331789,997,1,,1675,20,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/10/17,914.1942793,578.3407407,850,1,,1650,20,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/11/17,953.6941944,576.2188962,802,1,,1600,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/12/17,924.5203462,580.896679,833,1,,1580,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/13/17,966.8179861,581.6326531,732,1,,1550,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/14/17,922.6182271,579.0865116,665,1,,1525,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/15/17,930.9780757,576.758427,660,1,,1500,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/16/17,932.6728291,572.7939793,653,1,,1500,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/17/17,881.2022724,567.5610687,473,1,,1460,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/18/17,936.264221,560.6382153,602,1,,1420,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/19/17,902.9701362,558.9199614,563,1,,1400,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/20/17,884.1446095,554.4897959,560,1,,1365,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/21/17,849.648648,549.609421,502,1,,1350,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/22/17,863.9926927,543.6950853,532,1,,1350,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/23/17,873.0429677,538.7254509,498,1,,1350,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/24/17,851.9140655,533.7393939,492,1,,1300,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/25/17,831.198911,528.0676923,460,1,,1270,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/26/17,849.4561171,523.5077559,472,1,,1250,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/27/17,796.3854238,517.4160584,462,1,,1240,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/28/17,829.9671572,512.5289779,448,1,,1220,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/29/17,811.3734164,506.7379679,412,1,,1220,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,4/30/17,800.2152133,502.6408602,403,1,,1220,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/1/17,807.0541534,496.9071274,348,1,,1180,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/2/17,795.371077,492.5551913,430,1,,1180,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/3/17,795.8552739,486.7591565,432,1,,1140,25,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/4/17,806.9609493,482.309417,321,1,,1125,30,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/5/17,683.1759374,478.6681665,343,1,,1110,30,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/6/17,778.1749607,475.0293454,338,1,,1110,30,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/7/17,754.1282162,475.119213,338,1,,1110,30,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/8/17,754.444956,464.6843931,337,1,,1065,30,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/9/17,704.6226779,459.8827667,367,1,,1050,30,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/10/17,724.3975396,455.3471074,343,1,,1030,30,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/11/17,692.492374,449.3377246,323,1,,1000,30,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/12/17,706.5030064,445.8050542,332,1,,1000,38,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/13/17,727.3358497,442.185766,342,1,,1000,38,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/14/17,664.618307,438.2780488,273,1,,1000,38,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/15/17,708.6428731,433.8349754,322,1,,970,38,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/16/17,670.9743116,429.4681648,292,1,,960,30,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/17/17,686.4171931,426.4641509,302,1,,950,30,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/18/17,653.202721,421.4739517,278,1,,940,30,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/19/17,665.0062092,418.0205128,282,1,,940,30,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/20/17,643.9626538,414.4644243,257,1,,940,30,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/21/17,631.2929177,412.2804718,275,1,,940,30,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/22/17,678.4988308,401.6402685,273,1,,920,30,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/23/17,634.428351,401.1018767,257,1,,900,30,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/24/17,652.0308015,400.021419,268,1,,870,30,20
Q9HHGQ7E47,60463,ALTIMORE 1H,4.20513E+11,4205133997,,5/25/17,630.0779728,396.5306122,258,1,,860,30,20
