API14,API/UWI,Well Name,Well Number,Lease Name,Operator Alias,Reported Operator,Field,County/Parish,Target Formation,DI Landing Zone,KB Elevation,Ground Elevation,Measured Depth (TD),True Vertical Depth,Production Type,Well Status,Spud Date,Completion Date,Drill Type,Upper Perforation,Lower Perforation,Perforated Interval Length,Horizontal Length,First Prod Date,Start Date (First Treatment Job),End Date (First Treatment Job),Qualifier (First Treatment Job),Stage Count (First Treatment Job),Max Injection Rate (First Treatment Job),Max Injection Pressure (First Treatment Job),Total Proppant (First Treatment Job),Total Fluid (First Treatment Job),Total Water (First Treatment Job),Total Additive (First Treatment Job),Proppant Per Horizontal Foot (First Treatment Job),Proppant per Perforated Foot (First Treatment Job),Fluid per Perforated Foot (First Treatment Job),Proppant Concentration (lbs/gal) (First Treatment Job),First Test Gas Volume,First Test Oil Volume,First Test Water Volume,First Test Hours Tested,First Test Production Method,First Well Test Date,First Reported Test Type,Last Well Test Date,Last Test Type,First Test Gas Gravity,First Test Oil Gravity,First Test GOR,First Test Casing Pressure,First Test Choke Size,First Test Flowing Tubing Pressure,Peak BOE,Peak Gas,Peak Oil,Peak BOE per perforated Ft,Peak Gas per perforated Ft,Peak Oil per perforated Ft,Peak BOE per 1MM lbs proppant,Peak Gas per 1MM lbs proppant,Peak Oil per 1MM lbs proppant,Peak BOE per 1000 BBL Fluid,Peak Gas per 1000 BBL Fluid,Peak Oil per 1000 BBL Fluid,Cum BOE,Cum Gas,Cum Oil,Cum Water,First 6 BOE,First 6 Gas,First 6 Oil,First 6 Water,First 6 BOE per perforated Ft,First 6 Gas per perforated Ft,First 6 Oil per perforated Ft,First 6 BOE per 1MM lbs proppant,First 6 Gas per 1MM lbs proppant,First 6 Oil per 1MM lbs proppant,First 6 BOE per 1000 BBL Fluid,First 6 Gas per 1000 BBL Fluid,First 6 Oil per 1000 BBL Fluid,First 12 BOE,First 12 Gas,First 12 Oil,First 12 Water,First 12 BOE per perforated Ft,First 12 Gas per perforated Ft,First 12 Oil per perforated Ft,First 12 BOE per 1MM lbs proppant,First 12 Gas per 1MM lbs proppant,First 12 Oil per 1MM lbs proppant,First 12 BOE per 1000 BBL Fluid,First 12 Gas per 1000 BBL Fluid,First 12 Oil per 1000 BBL Fluid,First 24 BOE,First 24 Gas,First 24 Oil,First 24 Water,First 60 BOE,First 60 Gas,First 60 Oil,First 60 Water,Full Oil EUR,Full Gas EUR,EUR Oil per perforated Ft,EUR Gas per perforated Ft,EUR (BE) Oil per 1MM lbs proppant,EUR (BE) Gas per 1MM lbs proppant,EUR (BE) Oil per 1000 BBL Fluid,EUR (BE) Gas per 1000 BBL Fluid,Has Digitized Trajectory (Y/N),Has Well Log (LAS) (Y/N),Has Well Log (Raster) (Y/N),LAS Mnemonics,Country,Basin,Play Assessment Basin,State,Section,Township,Range,Quarter Quarter,District,Abstract,Block,Survey,Surface Latitude (WGS84),Surface Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84),UWI
4.21E+13,4205134035,LOBRANO EF UNIT,1H,LOBRANO EF UNIT,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,BURLESON (TX),EAGLEFORD,,,394.99,13264,7045.07,OIL & GAS,ACTIVE,6/2/17,,H,,,,6164.3,7/1/17,7/3/17,7/14/17,AdditiveSummary,,,,22282468,,334857,357583,3614.7605,,,,,,,,,,,,,,,,,,,10433,3436,9861,,,,468.22,154.2,442.55,,,,49458,13334,47236,,41865,11574,39936,,,,,1878.83,519.42,1792.26,,,,,,,,,,,,,,,,,,,,,,,,,423329,119499,,,18998.3,5362.92,,,TRUE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,90,,"CARUTHERS, L D",30.6093503,-96.7014226,30.5990919,-96.685902,42-051-34035-00
4.21E+13,4205134039,PERRY EF UNIT,1,PERRY EF UNIT,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,BURLESON (TX),EAGLEFORD,,,399.98,14185,7525.36,OIL & GAS,ACTIVE,7/1/17,,H,,,,6387.43,9/1/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16245,2883,15765,,,,,,,,,,72506,14903,70022,,72505,14903,70022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941221,200323,,,,,,,TRUE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,26,,"GREENWOOD, E",30.4614271,-96.7564852,30.4748942,-96.7706029,42-051-34039-00
4.21E+13,4205134040,ENGLEMANN EF UNIT,1,ENGLEMANN EF UNIT,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,BURLESON (TX),EAGLEFORD,,,400.15,14728,7747.03,OIL & GAS,ACTIVE,7/3/17,,H,,,,6946.32,9/1/17,8/13/17,8/31/17,AdditiveSummary,,,,24729712,,365796,698724,3560.117,,,,,,,,,,,,,,,,,,,20764,4367,20037,,,,839.64,176.59,810.24,,,,97104,21954,93445,,97104,21954,93445,,,,,3926.61,887.76,3778.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,26,,"GREENWOOD, E",30.4613871,-96.7565352,30.4486978,-96.7402721,42-051-34040-00
4.21E+13,4205134041,MAREK EF UNIT,1H,MAREK EF UNIT,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,BURLESON (TX),EAGLEFORD,,,394.35,15147,7631.17,OIL & GAS,ACTIVE,6/27/17,,H,,,,7467.23,8/1/17,7/31/17,8/11/17,AdditiveSummary,,,,26504136,,402870,395359,3549.3933,,,,,,,,,,,,,,,,,,,21611,3205,21077,,,,815.38,120.92,795.23,,,,96863,16069,94185,,86075,14091,83727,,,,,3247.61,531.65,3159.02,,,,,,,,,,,,,,,,,,,,,,,,,1053861,179800,,,39762.13,6783.85,,,TRUE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,11,,"CLARK, D",30.4848564,-96.7457949,30.4715761,-96.7279319,42-051-34041-00
4.21E+13,4205134042,RAY EF UNIT,1H,RAY EF UNIT,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,BURLESON (TX),EAGLEFORD,,,394.21,,,OIL & GAS,ACTIVE,6/22/17,,H,,,,6594.43,8/1/17,7/31/17,8/11/17,AdditiveSummary,,,,23763364,,350617,278966,3603.5509,,,,,,,,,,,,,,,,,,,16128,2822,15658,,,,678.69,118.75,658.91,,,,75235,12533,73146,,67680,12533,65592,,,,,2848.08,527.41,2760.22,,,,,,,,,,,,,,,,,,,,,,,,,757008,129707,,,31856.1,5458.28,,,FALSE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,11,,"CLARK, D",30.4848164,-96.7458449,30.4989476,-96.7589581,42-051-34042-00
4.21E+13,4205134044,DANIELLE,1H,DANIELLE,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,BURLESON (TX),EAGLEFORD,,,318.28,,,OIL & GAS,DRILLED,2/16/18,,H,,,,5398.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,44,,"PERRY, J",30.4091113,-96.6207332,30.4206352,-96.6315216,4205134044
4.21E+13,4205134045,HUDSON,1H,HUDSON,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,BURLESON (TX),EAGLEFORD,,,318.9,,,OIL & GAS,DRILLED,2/13/18,,H,,,,6791.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,44,,"PERRY, J",30.4091552,-96.6207713,30.3972536,-96.6041692,4205134045
4.21E+13,4205134046,SIPTAK EF UNIT,1H,SIPTAK EF UNIT,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,BURLESON (TX),EAGLEFORD,,,412.89,14335,7353.42,OIL & GAS,ACTIVE,8/5/17,,H,,,,6766.75,9/1/17,9/7/17,9/18/17,AdditiveSummary,,,,23179808,,440424,259491,3425.5452,,,,,,,,,,,,,,,,,,,15614,2859,15138,,,,673.6,123.34,653.07,,,,58598,6653,57489,,58597,6653,57489,,,,,2527.93,287.02,2480.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,58,,"SWEARINGEN, E",30.5004259,-96.7385946,30.5151503,-96.7517425,42-051-34046-00
4.21E+13,4205134047,HANOVER,1H,HANOVER,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",AGUILA VADO,BURLESON (TX),EAGLEFORD,,,293.19,17160,8499.63,OIL & GAS,ACTIVE,8/18/17,,H,,,,8070.43,10/1/17,9/22/17,10/9/17,AdditiveSummary,,,,28477417,,546724,371018,3528.6121,,,,,,,,,,,,,,,,,,,14851,9375,13289,,,,521.5,329.21,466.65,,,,52892,33914,47240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,38,,"MC FADDEN, N A",30.5020648,-96.5458963,30.5197053,-96.5613711,42-051-34047-00
4.21E+13,4205134048,LEWIS EF UNIT,1H,LEWIS EF UNIT,WILDHORSE RESOURCES MNGT,"WILDHORSE RESOURCES MNGT CO, LLC",GIDDINGS,BURLESON (TX),EAGLEFORD,,,412.93,14393,7370.86,OIL & GAS,ACTIVE,8/11/17,,H,,,,6761.73,9/1/17,9/7/17,9/18/17,AdditiveSummary,,,,23198285,,443027,264425,3430.821,,,,,,,,,,,,,,,,,,,15998,2871,15520,,,,689.62,123.76,669.01,,,,60617,11628,58679,,60617,11628,58679,,,,,2612.99,501.24,2529.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,,USA,TEXAS & LOUISIANA GULF COAST BASIN,,TX,,,,,,58,,"SWEARINGEN, E",30.5003459,-96.7386846,30.5120989,-96.7551514,42-051-34048-00
